scenario,run_id,category,outcome,mean_pos_error,rmse_pos,max_pos_error,mean_yaw_error,path_length,duration,path_efficiency,mean_velocity,smoothness,amcl_uncertainty,max_amcl_uncertainty,anomaly_count,anomalies
small-dataset-maps-door-size-0-5-1s2-1,2,door-width,success,0.05749649054917708,0.062055137811398674,0.1327817375629734,0.019241190846535843,17.667826386053726,102.816,0.9960949326162878,0.1720315555405759,0.4194653594982338,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-10,0,door-width,success,0.05911755471736524,0.07530886399871996,0.24171616906292034,0.03298113191969338,22.17746717144086,97.164,0.9678489696695843,0.22851414913526158,0.6112199678784318,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-10,1,door-width,success,0.056427259120422214,0.06684025449176267,0.18113355043113086,0.029934003767236064,21.069765211982364,91.656,0.9813123078421011,0.23019133578708884,0.6495297747601232,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-10,2,door-width,success,0.06077113360620402,0.06955137355123285,0.13973328004341934,0.030780578141410338,22.33630779438317,93.096,0.976050504669825,0.240190951234713,0.6829174607300172,0.14142135623730945,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-11,0,door-width,success,0.054163876218993344,0.06482057617356689,0.15976051280774736,0.024238995817909715,30.123621031844102,141.732,0.9678666651866736,0.21279290135414802,0.6322359691160285,0.14142135623730945,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-11,1,door-width,success,0.05524976208828023,0.07285866461485303,0.1925395488923487,0.025738485317703678,30.15091472773803,139.5,0.9830025993933688,0.21645863400764617,0.631346295387986,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-11,2,door-width,success,0.049287087709354235,0.06467785944980148,0.16716022994848906,0.020339004576799997,30.50998556287395,151.272,0.9867409767244498,0.20195526435248998,0.5418549008517911,0.14142135623730945,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-12,0,door-width,success,0.04764004012237994,0.05442786660355936,0.11070218996765914,0.01884300987644825,21.924647469118096,94.64399999999999,0.9818204453696279,0.23187016237361166,0.4697773670283663,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-12,1,door-width,success,0.03980798279833172,0.0432174090138366,0.08598208507718923,0.024204221337902804,21.825494242234495,99.435,0.9856345953525005,0.21982792718483804,0.4636953750354138,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-12,2,door-width,success,0.054344788767570186,0.059610940209476486,0.11977729068886867,0.03551429945770543,21.982871675609474,125.496,0.9815390632042782,0.17536620332256264,0.42538205725005046,0.14142135623730948,0.1414213562373095,1,stuck
small-dataset-maps-door-size-0-5-1s2-13,0,door-width,failure,0.05343451166171446,0.05873476272806295,0.12735891018273382,0.0329229300166743,14.779119974571909,94.28399999999999,0.9658756638798094,0.15690497176208934,0.3952075347162783,0.14142135623730945,0.1414213562373095,1,goal_failure
small-dataset-maps-door-size-0-5-1s2-13,1,door-width,success,0.05419255862670889,0.06337838843304096,0.20933050278408263,0.02010570565758227,33.85798011971777,215.532,0.9900219614912446,0.15722133482490397,0.33651737279442634,0.14142135623730948,0.1414213562373095,1,stuck
small-dataset-maps-door-size-0-5-1s2-13,2,door-width,success,0.062948703006901,0.07931454197562163,0.27619846313997026,0.018973924005989656,30.872283138085475,108.108,0.9931219811157983,0.28586898996456866,0.4345056448243819,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-14,0,door-width,success,0.08383088238648927,0.0972474753128237,0.1900869215086885,0.017745638024461566,20.873512347082432,99.83099999999999,0.9809823252888086,0.2092679602271341,0.467474244968908,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-14,1,door-width,success,0.08052797971363543,0.10198665336535559,0.27710941824833263,0.02410329132121912,21.222460027418578,82.80000000000001,0.976349944112311,0.25667173896076145,0.5489142801362847,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-14,2,door-width,success,0.06773948614473696,0.0851529597659752,0.24395412107744893,0.019635163998931622,20.951625896324256,81.25200000000001,0.9905890848373348,0.25829035406693635,0.468217344972959,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-2,0,door-width,success,0.024627851950694186,0.030979263854343495,0.09372323905292422,0.022986767963148826,12.40758378759466,87.516,0.9956948986888339,0.14191736077590125,0.37862774841617275,0.14142135623730948,0.1414213562373095,0,none
small-dataset-maps-door-size-0-5-1s2-2,1,door-width,failure,0.03286724046540572,0.03671802536228148,0.11129418485289755,0.02478390405424182,11.730605466806683,124.488,0.9595269466711848,0.0943408501883274,0.38551478350887575,0.14142135623730948,0.1414213562373095,2,"goal_failure,stuck"
small-dataset-maps-door-size-0-5-1s2-2,2,door-width,failure,0.02954144733807846,0.03519080890006125,0.106129019122752,0.025711880225176342,11.3025312290175,161.676,0.956172846490285,0.06998214289773395,0.30689040818996693,0.14142135623730945,0.1414213562373095,2,"goal_failure,stuck"
